BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO
Urca,278.1,2186,5.0
Joá,23.7,390,2.906
Glória,172.65,4798,2.125
Leme,198.6,5762,2.077
Cidade Nova,55.05,1960,1.876
São Conrado,96.2,3910,1.766
Santo Cristo,90.8,3911,1.722
Camorim,91.2,4199,1.675
Ribeira,32.1,1491,1.669
Catete,147.7,7211,1.636
Estácio,64.1,3814,1.52
Jardim Botânico,108.4,6789,1.494
Engenheiro Leal,16.950000000000003,1135,1.461
Praça da Bandeira,50.7,3486,1.449
Campinho,30.65,2269,1.416
Humaitá,88.3,6964,1.39
Maria da Graça,34.2,2777,1.379
Sampaio,24.8,2022,1.377
São Francisco Xavier,35.4,2924,1.372
Vargem Grande,35.0,3521,1.304
Lagoa,81.05,9094,1.271
Ipanema,181.5,21788,1.253
Gávea,53.2,6414,1.252
Itanhangá,36.25,4513,1.244
Santa Teresa,78.8,10266,1.232
Vicente de Carvalho,39.6,5278,1.227
Vila Kosmos,31.450000000000003,4514,1.21
Colégio,31.4,4520,1.209
Rocha,39.3,5730,1.207
Jardim Sulacap,30.9,4760,1.195
Abolição,23.75,3821,1.186
Leblon,136.95,22244,1.185
Encantado,28.4,4667,1.182
Santíssimo,28.4,4875,1.174
Honório Gurgel,26.3,4540,1.173
Cavalcanti,21.6,3773,1.171
Vila da Penha,54.35,9996,1.162
Curicica,33.7,6261,1.16
Engenho da Rainha,22.5,4228,1.158
Vista Alegre,14.2,2763,1.152
Vargem Pequena,34.1,6648,1.152
Vigário Geral,24.9,4909,1.15
Riachuelo,25.4,5127,1.147
São Cristóvão,44.4,9018,1.146
Parada de Lucas,28.700000000000003,5906,1.144
Del Castilho,25.25,5441,1.137
Tanque,26.45,5942,1.131
Portuguesa,30.7,6950,1.13
Laranjeiras,86.45,19761,1.128
Higienópolis,21.5,5083,1.124
Rio Comprido,35.4,8898,1.116
Tomás Coelho,27.1,6819,1.116
Maracanã,46.6,11655,1.116
Lins de Vasconcelos,34.9,9058,1.112
Vaz Lobo,10.35,2860,1.105
Bonsucesso,26.8,7383,1.105
Guadalupe,36.1,10160,1.102
Cascadura,30.65,8761,1.101
Inhaúma,31.9,9125,1.101
Todos os Santos,27.6,8051,1.099
Anil,37.1,10877,1.098
Jardim América,21.3,6313,1.097
Inhoaíba,22.7,6730,1.097
Pilares,23.05,6903,1.096
Bento Ribeiro,31.2,9612,1.093
Pechincha,39.2,12647,1.088
Centro,66.1,22557,1.083
Flamengo,74.5,25506,1.083
Senador Vasconcelos,12.6,4470,1.079
Osvaldo Cruz,23.3,8344,1.078
Cachambi,35.349999999999994,13204,1.075
Cordovil,24.3,9568,1.071
Quintino Bocaiúva,21.5,8565,1.07
Grajaú,33.3,13807,1.066
Marechal Hermes,22.2,9598,1.063
Vila Valqueire,27.9,12381,1.061
Engenho Novo,30.05,13788,1.059
Freguesia (Jacarepaguá),46.1,22038,1.056
Ramos,21.6,10417,1.056
Méier,35.3,16931,1.056
Jardim Guanabara,22.9,11615,1.053
Piedade,23.35,11980,1.052
Madureira,24.7,12583,1.052
Andaraí,23.65,12440,1.05
Engenho de Dentro,31.65,16654,1.05
Olaria,27.6,15376,1.047
Guaratiba,27.95,15864,1.046
Penha Circular,20.4,12340,1.043
Penha,23.9,14944,1.041
Paciência,23.700000000000003,15477,1.039
Praça Seca,24.8,16312,1.038
Barra da Tijuca,87.85,61796,1.035
Cosmos,19.450000000000003,13755,1.035
Vila Isabel,38.4,27838,1.034
Brás de Pina,18.3,13117,1.034
Copacabana,102.7,75872,1.033
Jacarepaguá,46.7,36857,1.03
Recreio dos Bandeirantes,59.6,47152,1.03
Irajá,30.700000000000003,26601,1.027
Botafogo,40.8,37501,1.025
Taquara,33.2,32719,1.022
Pavuna,18.2,18951,1.021
Tijuca,48.2,49028,1.021
Campo Grande,27.2,89855,1.0
