BAIRRO,RISCO ALTO,LATITUDE,LONGITUDE
Catete,100.0,-22.9269199,-43.1802186
Santo Cristo,99.5,-22.9007657,-43.2033933
Santa Teresa,99.5,-22.9215542,-43.1860269
Camorim,99.25,-22.9711394,-43.4311836
Cidade Nova,85.25,-22.9100508,-43.201756
Jacarepaguá,68.27,-22.9531726,-43.3715825
Guaratiba,50.0,-22.9905839,-43.584923
Santíssimo,50.0,-22.8751928,-43.5198512
Cosmos,50.0,-22.9078051,-43.6144915
Paciência,50.0,-22.8987,-43.6369556
Penha Circular,50.0,-22.8326425,-43.2842228
Itanhangá,49.75,-22.9870911,-43.3049379
Vargem Grande,49.75,-22.9707911,-43.4968914
Campo Grande,49.5,-22.902953,-43.5591295
Vargem Pequena,49.25,-22.9818187,-43.4578117
Inhoaíba,45.75,-22.9131775,-43.5932975
Jardim Sulacap,43.25,-22.8956799,-43.3929967
Taquara,26.32,-22.9218864,-43.384646
Glória,25.5,-22.9183225,-43.1739232
Urca,14.0,-22.954074,-43.1679727
Estácio,12.5,-22.9166265,-43.20363
Senador Vasconcelos,11.25,-22.8953684,-43.5288566
São Conrado,10.75,-22.9913592,-43.2675329
Vicente de Carvalho,8.5,-22.8571804,-43.3157892
Recreio dos Bandeirantes,5.0,-23.0185151,-43.4634021
Barra da Tijuca,4.5,-22.9997404,-43.3659929
Joá,3.5,-23.0077797,-43.2872344
Leme,2.75,-22.961704,-43.1669042
Jardim Botânico,1.5,-22.9636362,-43.2233457
Praça Seca,1.25,-22.8992621,-43.3527794
Gávea,1.0,-22.9814243,-43.2383245
Curicica,0.75,-22.9519909,-43.3872901
Cordovil,0.5,-22.8194378,-43.2915908
Vigário Geral,0.5,-22.8095333,-43.3097039
Pavuna,0.5,-22.8121927,-43.3592811
São Francisco Xavier,0.5,-22.9047617,-43.2440314
Honório Gurgel,0.25,-22.8465751,-43.3561294
Cascadura,0.25,-22.8841816,-43.3283969
Parada de Lucas,0.25,-22.8167023,-43.3012102
Tomás Coelho,0.25,-22.8676979,-43.3060881
Marechal Hermes,0.25,-22.8599658,-43.3704561
Jardim América,0.25,-22.810005,-43.323212
Irajá,0.25,-22.8351129,-43.3233619
Ramos,0.25,-22.8519758,-43.2555693
Quintino Bocaiúva,0.25,-22.8955889,-43.3253269
Higienópolis,0.25,-22.873999,-43.2613682
Cavalcanti,0.25,-22.8705266,-43.3165261
Engenho da Rainha,0.25,-22.8626496,-43.2937874
Rio Comprido,0.0,-22.9279449,-43.2088566
Colégio,0.0,-22.83979,-43.3357623
Rocha,0.0,-22.8995624,-43.2488072
Centro,0.0,-22.2800004,-42.5325303
Guadalupe,0.0,-22.8376208,-43.3751608
Inhaúma,0.0,-22.8715476,-43.2823466
Ipanema,0.0,-22.9839557,-43.2022163
São Cristóvão,0.0,-22.899318,-43.2219346
Praça da Bandeira,0.0,-22.9112162,-43.2131983
Maria da Graça,0.0,-22.8830403,-43.2638849
Copacabana,0.0,-22.971974,-43.1842997
Lins de Vasconcelos,0.0,-22.9140512,-43.2843528
Vila da Penha,0.0,-22.8435065,-43.3100585
Vila Kosmos,0.0,-22.853597,-43.3032021
Brás de Pina,0.0,-22.831888,-43.2977309
Madureira,0.0,-22.871658,-43.3371976
Tanque,0.0,-22.9151927,-43.3557471
Pilares,0.0,-22.8790904,-43.2955477
Campinho,0.0,-22.8852187,-43.347738
Engenho Novo,0.0,-22.9090942,-43.2678381
Penha,0.0,-22.8381127,-43.2764454
Encantado,0.0,-22.8974743,-43.3042461
Bento Ribeiro,0.0,-22.8666607,-43.3608367
Sampaio,0.0,-22.9022287,-43.2602402
Engenheiro Leal,0.0,-22.8743923,-43.3255315
Flamengo,0.0,-22.9339841,-43.1745744
Bonsucesso,0.0,-22.8659317,-43.253318
Osvaldo Cruz,0.0,-22.8705266,-43.350194
Anil,0.0,-22.9558133,-43.3384123
Leblon,0.0,-22.9834608,-43.2249656
Olaria,0.0,-22.8484866,-43.2706124
Del Castilho,0.0,-22.8795618,-43.2724202
Piedade,0.0,-22.8926665,-43.3110001
Laranjeiras,0.0,-22.9343173,-43.1878165
Engenho de Dentro,0.0,-22.9026591,-43.2967757
Riachuelo,0.0,-22.9026953,-43.255175
Cachambi,0.0,-22.8897728,-43.2743347
Pechincha,0.0,-22.928988,-43.3534191
Portuguesa,0.0,-22.7999597,-43.2068169
Humaitá,0.0,-22.9546413,-43.2004797
Abolição,0.0,-22.8861614,-43.2998457
Vila Isabel,0.0,-22.9166993,-43.2508354
Freguesia (Jacarepaguá),0.0,-22.9408899,-43.3422564
Tijuca,0.0,-22.9247351,-43.2327165
Maracanã,0.0,-22.9121619,-43.2311861
Ribeira,0.0,-22.8252399,-43.1705907
Méier,0.0,-22.90173,-43.2797093
Vila Valqueire,0.0,-22.8886093,-43.3657758
Lagoa,0.0,-22.9624658,-43.2024884
Todos os Santos,0.0,-22.894563,-43.28506
Andaraí,0.0,-22.9290845,-43.2534858
Grajaú,0.0,-22.9225217,-43.2645145
Vista Alegre,0.0,-22.8296244,-43.3151276
Botafogo,0.0,-22.9515096,-43.1862969
Vaz Lobo,0.0,-22.8589721,-43.3278646
Jardim Guanabara,0.0,-22.8128362,-43.2007792
